id	feature	planned_source	current_code_source	classification	risk_class	current_user_visible	current_operator_visible	tests	docs	findings_refs	notes
PF-001	stablecoin cashback and LOOP asset payout (USDLOOP/GBPLOOP/EURLOOP)	ADR 015; roadmap; architecture	apps/backend/src/credits/payout-asset.ts; payments/payout-submit.ts; payout-worker.ts; env.ts:288-299	partial	medium	on-chain payouts only when issuer envs are set	asset-drift watcher + admin/treasury/assets	__tests__/payout-submit.test, __tests__/asset-drift-watcher	ADR 015 + ADR 016 documented; partial issuer config has no boot warning	A4-064	Issuer envs all optional; deployments missing them silently fall back to off-chain accrual.
PF-002	CTX supplier/operator pool and principal-switch payment rails	ADR 010; ADR 013; roadmap	apps/backend/src/orders/{loop-handler,procure-one,procurement,procurement-asset-picker,fulfillment}.ts; ctx/operator-pool.ts	implemented	low	yes (Loop-native order flow active when LOOP_AUTH_NATIVE_ENABLED=true)	admin/operator-* surfaces	__tests__/orders + integration	ADR 010/013 in good shape		Loop-native order surface gated; legacy CTX-proxy preserved for transition window.
PF-003	admin panel credit primitives and drill-downs	ADR 017/018/022/023; roadmap	apps/backend/src/admin/* (~110 handlers); apps/web/app/routes/admin.*	implemented	medium	admin only	yes (every drill, mix-axis matrix, audit tail, CSV)	__tests__/integration/admin-writes.test	thorough	A4-019, A4-020, A4-021, A4-022, A4-052, A4-053	Idempotency primitives advisory-locked; subset of writers (refund, payouts-retry, compensation) skip the guard; UI lacks confirmation gates.
PF-004	admin step-up auth	ADR 028; docs	NONE	planned-not-started	medium	no	no	no	ADR-028	A4-063	Designed but unimplemented; destructive admin endpoints ship without step-up gate.
PF-005	mobile platform security hardening (SSL pinning, App Attest, Play Integrity, jailbreak/root detection, binary tamper)	ADR 027; mobile docs; roadmap	NONE — explicitly deferred per ADR	deferred	medium	no	no	no	ADR-027		Phase-2 trigger conditions (App Store / Play Store launch) not yet reached.
PF-006	tax and regulatory reporting	ADR 026; roadmap	apps/backend/src/db/schema.ts (data model); NO emitter scripts/reports/quarterly-tax.ts	partial	medium	no	no	no	ADR-026	A4-062	Schema-mapping prereqs landed; quarterly CSV emitter never shipped despite ADR-026 Phase-1 deliverables.
PF-007	public API surface and never-500 behavior	ADR 020; architecture	apps/backend/src/public/* (6 handlers + last-known-good fallbacks)	partial	low	yes	yes (CDN-friendly Cache-Control)	public/__tests__	ADR-020	A4-061	ADR-020 references /api/public/stats which is not implemented; six other public endpoints honor the never-500 contract.
PF-008	repo-managed CI CLIs and release provenance	ADR 029; CI docs	.github/workflows/*; package.json devDeps lockfile-pinned	implemented	low	no	maintainers	pr-review.yml, secret-scan, sbom			Cosign signs SBOM; build-provenance subject is the SBOM file (A4-044) — should also attest deploy artifacts.
PF-009	Loop-native auth (Phase A → B → C)	ADR 013	apps/backend/src/auth/{native,handler,social,tokens,refresh-tokens}.ts; LOOP_AUTH_NATIVE_ENABLED default false	partial (Phase A live)	medium	yes when flag is on	yes	__tests__/auth + integration	ADR-013	A4-002, A4-005	Phase B/C completion criteria are not stated in any doc; legacy CTX path stays until rotation completes.
PF-010	social login Google + Apple (ADR 014)	ADR 014	apps/backend/src/auth/{social,id-token,id-token-replay,identities,jwks}.ts	implemented	low	yes	yes	__tests__/social, __tests__/id-token			Replay defence + email_verified gate + 3-step resolve.
PF-011	Stellar wallet linking + on-chain trustlines	ADR 015	apps/backend/src/users/stellar-{address,trustlines}.ts; web `routes/trustlines.tsx`	implemented (Phase 2 prep)	low	yes (Settings → wallet)	yes		ADR-015		Address regex enforced at API + DB layer.
PF-012	merchant catalog eviction policy	ADR 021	apps/backend/src/merchants/sync.ts + admin fall-back surfaces	implemented (descriptive)	low	yes	yes	__tests__/merchant-sync	ADR-021		Three-tier policy verified by inspection.
PF-013	withdrawal writer (admin-mediated)	ADR 024	apps/backend/src/credits/withdrawals.ts; admin/withdrawals.ts; routes/admin-credit-writes.ts	implemented	medium	admin only	yes	__tests__/integration/admin-writes	ADR-024	A4-053	No UI confirmation; primitive uses withIdempotencyGuard + DB unique fence.
PF-014	LLM-assisted PR review (ADR 025)	ADR 025	.github/workflows/pr-review.yml	implemented	low	no	maintainers	—	ADR-025	A4-042	Diff exfiltrated to Anthropic before secret-scan finishes — ordering concern.
PF-015	Phase-2 mobile capabilities (biometric unlock, app lock, share, keyboard, network, status bar)	roadmap	apps/web/app/native/* (15 wrappers); apps/mobile capacitor config	implemented	low	yes	no	__tests__/native (selected)	roadmap.md	A4-055, A4-056, A4-059	Wrappers in place; some PII / cleanup gaps in purchase-storage and share temp.
PF-016	interest accrual on credits (ADR 009)	ADR 009	apps/backend/src/credits/{accrue-interest,interest-scheduler}.ts	implemented (gated; default 0 bps)	low	no until enabled	yes	__tests__/accrue-interest	ADR-009		ADR explicitly defers behind legal sign-off; gating is enforced.
PF-017	asset-drift watcher (Stellar circulation vs ledger liability)	ADR 015	apps/backend/src/payments/asset-drift-watcher.ts	implemented (gated by configured assets)	low	no	yes	__tests__/asset-drift-watcher			Pages on threshold breach.
PF-018	stuck-procurement / stuck-payout watchdogs	ADR 016	apps/backend/src/orders/transitions-sweeps.ts; payments/stuck-payout-watchdog.ts	implemented	low	no	yes	tests on stuck sweeps			Watchdogs fire on cadence; admin retry path available.
PF-019	tax / regulatory CSV exports	ADR 026	NONE — see PF-006		see PF-006	—	—	—	—	A4-062	Same gap as PF-006.
PF-020	step-up auth UI surface	ADR 028	NONE — see PF-004		see PF-004	—	—	—	—	A4-063	Same gap as PF-004.
