path	primary_phase	secondary_phases	disposition	evidence_refs	findings_refs	notes
.dockerignore	03	20	reviewed-no-finding	root-ci-config-review.txt		Reviewed root ignore boundary; no direct finding
.gitattributes	01		reviewed-no-finding	phase-01-governance notes		LF/binary diff policy reviewed; no direct finding
.github/CODEOWNERS	20	01,04	reviewed-with-finding	root-ci-config-review.txt	A4-002	Missing team/enforcement finding applies; path coverage reviewed
.github/ISSUE_TEMPLATE/bug.yml	20	01,04	reviewed-no-finding	root-ci-config-review.txt		Bug template routes security issues away from public issues; no direct finding
.github/ISSUE_TEMPLATE/config.yml	20	01,04	reviewed-no-finding	root-ci-config-review.txt		Security advisory contact link reviewed; no direct finding
.github/ISSUE_TEMPLATE/feature.yml	20	01,04	reviewed-no-finding	root-ci-config-review.txt		Feature template ADR/scope prompts reviewed; no direct finding
.github/dependabot.yml	20	01,04	reviewed-no-finding	root-ci-config-review.txt		Dependabot config reviewed; no stale missing-team reviewer entry remains
.github/labeler.yml	20	01,04	reviewed-no-finding	root-ci-config-review.txt		Labeler path taxonomy reviewed; no direct finding
.github/pull_request_template.md	20	01,04	reviewed-no-finding	root-ci-config-review.txt		PR checklist/security/docs prompts reviewed; no direct finding
.github/workflows/ci.yml	20	01,04	reviewed-with-finding	A4-005,A4-006	phase 03/04	CI required-check and mutable scanner-image findings filed
.github/workflows/codeql.yml	20	01,04	reviewed-with-finding	root-ci-config-review.txt	A4-005	CodeQL workflow reviewed; not included in branch-protection required checks
.github/workflows/e2e-real.yml	20	01,04	reviewed-with-finding	e2e-real-workflow-env-fails.txt	A4-034	Manual real-wallet workflow env omits required DATABASE_URL
.github/workflows/pr-automation.yml	20	01,04	reviewed-no-finding	root-ci-config-review.txt		PR label/size automation reviewed for permissions and execution surface; no direct finding
.github/workflows/pr-review.yml	20	01,04	reviewed-no-finding	root-ci-config-review.txt		LLM PR review workflow reviewed against ADR-025/029 design; no direct finding
.gitignore	01		reviewed-no-finding	phase-01-governance notes		ignored dependency/build/env/native outputs reviewed; no tracked sensitive filename finding
.gitleaks.toml	20		reviewed-no-finding	root-ci-config-review.txt		Gitleaks config reviewed with secret-scan workflow; no direct finding
.husky/commit-msg	01	20	reviewed-no-finding	phase-01-governance notes		hook reviewed; CI still authoritative because local hooks can be bypassed
.husky/pre-commit	01	20	reviewed-no-finding	phase-01-governance notes		hook reviewed; CI still authoritative because local hooks can be bypassed
.husky/pre-push	01	20	reviewed-no-finding	phase-01-governance notes		hook reviewed; CI still authoritative because local hooks can be bypassed
.npmrc	04	03,20	reviewed-no-finding	root-ci-config-review.txt		NPM config reviewed; no direct finding
.prettierrc	03	18,20	reviewed-no-finding	root-ci-config-review.txt		Prettier config reviewed; no direct finding
AGENTS.md	21	01,02	reviewed-with-finding	root-ci-config-review.txt	A4-001,A4-005,A4-037	Agent instructions reviewed; governance/check and native-auth email docs drift captured
CHANGELOG.md	21	01,02	reviewed-no-finding	root-ci-config-review.txt		Changelog reviewed; no direct finding
CLAUDE.md	21	01,02	reviewed-no-finding	root-ci-config-review.txt		Root Claude guidance reviewed as repo instruction file, not audit evidence; no direct finding
CODE_OF_CONDUCT.md	21	01,02	reviewed-no-finding	root-ci-config-review.txt		Code of conduct reviewed; no direct finding
CONTRIBUTING.md	21	01,02	reviewed-with-finding	root-ci-config-review.txt	A4-002	Contributing/code-owner expectations reviewed; missing CODEOWNERS enforcement finding applies
LICENSE	21	01,02	reviewed-no-finding	root-ci-config-review.txt		License file reviewed; no direct finding
README.md	21	01,02	reviewed-with-finding	public-doc-current-feature-drift.txt	A4-035	Root product-state summary says cashback-to-Stellar is not shipped despite implemented wallet/payout paths
SECURITY.md	21	01,02	reviewed-no-finding	root-ci-config-review.txt		Security disclosure policy reviewed; no direct finding
apps/backend/.env.example	03	05,11,18,20	reviewed-with-finding	phase 10; loop-native-email-provider-gap.txt; observability-token-doc-drift.txt	A4-018,A4-037,A4-039	Stellar env example reviewed for issuer/operator separation; native-auth email provider config missing; observability token behavior verified against development-guide drift
apps/backend/AGENTS.md	03	05,11,18,20	reviewed-no-finding	active-docs-runbooks-pass.txt		Active documentation/package guide/config reviewed against current code evidence and docs lint pass
apps/backend/Dockerfile	03	05,11,18,20	reviewed-with-finding	A4-023,A4-033	phase 11; health-orchestrator-db-gaps.txt	Production image omits migration assets and healthcheck treats degraded HTTP 200 as healthy
apps/backend/README.md	03	05,11,18,20	reviewed-no-finding	active-docs-runbooks-pass.txt		Active documentation/package guide/config reviewed against current code evidence and docs lint pass
